Major Group,Sub-Major Group,Minor Group,Unit   Group,Group Title
2.0,24.0,241.0,,Legal Professionals
2.0,24.0,241.0,2412.0,Barristers and judges
2.0,24.0,241.0,2413.0,Solicitors
2.0,24.0,241.0,2419.0,Legal professionals n.e.c.
2.0,24.0,242.0,,"Business, Research and Administrative Professionals"
2.0,24.0,242.0,2421.0,Chartered and certified accountants
2.0,24.0,242.0,2423.0,Management consultants and business analysts
2.0,24.0,242.0,2424.0,Business and financial project management professionals
2.0,24.0,242.0,2425.0,"Actuaries, economists and statisticians"
2.0,24.0,242.0,2426.0,Business and related research professionals
2.0,24.0,242.0,2429.0,"Business, research and administrative professionals n.e.c."
2.0,24.0,243.0,,"Architects, Town Planners and Surveyors"
2.0,24.0,243.0,2431.0,Architects
2.0,24.0,243.0,2432.0,Town planning officers
2.0,24.0,243.0,2433.0,Quantity surveyors
2.0,24.0,243.0,2434.0,Chartered surveyors
2.0,24.0,243.0,2435.0,Chartered architectural technologists
2.0,24.0,243.0,2436.0,Construction project managers and related professionals
2.0,24.0,244.0,,Welfare Professionals
2.0,24.0,244.0,2442.0,Social workers
2.0,24.0,244.0,2443.0,Probation officers
2.0,24.0,244.0,2444.0,Clergy
2.0,24.0,244.0,2449.0,Welfare professionals n.e.c.
2.0,24.0,245.0,,Librarians and Related Professionals
2.0,24.0,245.0,2451.0,Librarians
2.0,24.0,245.0,2452.0,Archivists and curators
2.0,24.0,246.0,,Quality and Regulatory Professionals
2.0,24.0,246.0,2461.0,Quality control and planning engineers
2.0,24.0,246.0,2462.0,Quality assurance and regulatory professionals
2.0,24.0,246.0,2463.0,Environmental health professionals
2.0,24.0,247.0,,Media Professionals
2.0,24.0,247.0,2471.0,"Journalists, newspaper and periodical editors"
2.0,24.0,247.0,2472.0,Public relations professionals
2.0,24.0,247.0,2473.0,Advertising accounts managers and creative directors
3.0,,,,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS
3.0,31.0,,,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS"
3.0,31.0,311.0,,"Science, Engineering and Production Technicians"
3.0,31.0,311.0,3111.0,Laboratory technicians
3.0,31.0,311.0,3112.0,Electrical and electronics technicians
3.0,31.0,311.0,3113.0,Engineering technicians
3.0,31.0,311.0,3114.0,Building and civil engineering technicians
3.0,31.0,311.0,3115.0,Quality assurance technicians
3.0,31.0,311.0,3116.0,"Planning, process and production technicians"
3.0,31.0,311.0,3119.0,"Science, engineering and production technicians n.e.c."
3.0,31.0,312.0,,Draughtspersons and Related Architectural Technicians
3.0,31.0,312.0,3121.0,Architectural and town planning technicians
3.0,31.0,312.0,3122.0,Draughtspersons
3.0,31.0,313.0,,Information Technology Technicians
3.0,31.0,313.0,3131.0,IT operations technicians
3.0,31.0,313.0,3132.0,IT user support technicians
3.0,32.0,313.0,,HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALS
3.0,32.0,321.0,,Health Associate Professionals
3.0,32.0,321.0,3213.0,Paramedics
3.0,32.0,321.0,3216.0,Dispensing opticians
3.0,32.0,321.0,3217.0,Pharmaceutical technicians
3.0,32.0,321.0,3218.0,Medical and dental technicians
3.0,32.0,321.0,3219.0,Health associate professionals n.e.c.
3.0,32.0,323.0,,Welfare and Housing Associate Professionals
3.0,32.0,323.0,3231.0,Youth and community workers
3.0,32.0,323.0,3233.0,Child and early years officers
