Code,Geographical region,Country of nationality
AFS-MRT,Africa Sub-Saharan,Mauritius
AFS-MYT,Africa Sub-Saharan,Mayotte
ACS-MEX,America Central and South ,Mexico
OCE-MCR,Oceania,Micronesia
ERO-MDV,Europe Other,Moldova
ERO-MNC,Europe Other,Monaco
AEA-MNG,Asia East,Mongolia
ERO-MNT,Europe Other,Montenegro
OTH-MSR,Other,Montserrat (British)
AFN-MRC,Africa North,Morocco
AFS-MOZ,Africa Sub-Saharan,Mozambique
AFS-NMB,Africa Sub-Saharan,Namibia
OCE-NAU,Oceania,Nauru
ASO-NPL,Asia South,Nepal
EU1-NTL,EU 14,Netherlands
ACS-NLA,America Central and South ,Netherlands Antilles
OCE-NCD,Oceania,New Caledonia
OCE-NZE,Oceania,New Zealand
ACS-NIC,America Central and South ,Nicaragua
AFS-NIG,Africa Sub-Saharan,Niger
AFS-NGR,Africa Sub-Saharan,Nigeria
OCE-NIU,Oceania,Niue
OCE-NFI,Oceania,Norfolk Island
OCE-NMI,Oceania,Northern Mariana Islands
ERO-NWY,Europe Other,Norway
MIE-OPT,Middle East,Occupied Palestinian Territories
MIE-OMN,Middle East,Oman
OTH-OUT,Other,Other and unknown
ASO-PAK,Asia South,Pakistan
OCE-PAL,Oceania,Palau
ACS-PAN,America Central and South ,Panama
OCE-PNG,Oceania,Papua New Guinea
ACS-PRG,America Central and South ,Paraguay
ACS-PER,America Central and South ,Peru
ASE-PLP,Asia South East,Philippines
OTH-PIB,Other,Pitcairn Islands (British)
EU8-POL,EU 8,Poland
EU1-PTG,EU 14,Portugal
AMN-PTR,America North,Puerto Rico
MIE-QTR,Middle East,Qatar
OTH-RFG,Other,Refugee
AFS-REU,Africa Sub-Saharan,Reunion
EU2-RMN,EU 2,Romania
ERO-RUS,Europe Other,Russia
AFS-RWA,Africa Sub-Saharan,Rwanda
OCE-SAM,Oceania,Samoa
ERO-SMR,Europe Other,San Marino
AFS-STP,Africa Sub-Saharan,Sao Tome and Principe
MIE-SDA,Middle East,Saudi Arabia
AFS-SNG,Africa Sub-Saharan,Senegal
ERO-SRB,Europe Other,Serbia
ERO-SAM,Europe Other,Serbia and Montenegro
AFS-SCH,Africa Sub-Saharan,Seychelles
AFS-SRL,Africa Sub-Saharan,Sierra Leone
ASE-SGP,Asia South East,Singapore
EU8-SVK,EU 8,Slovakia
EU8-SVN,EU 8,Slovenia
OCE-SLI,Oceania,Solomon Islands
AFS-SOM,Africa Sub-Saharan,Somalia
AFS-SAF,Africa Sub-Saharan,South Africa
OTH-SGI,Other,South Georgia and South Sandwich Islands
EU1-SPA,EU 14,Spain
ASO-SLK,Asia South,Sri Lanka
OTH-SHB,Other,St. Helena (British)
ACS-SKN,America Central and South ,St. Kitts and Nevis
ACS-SLU,America Central and South ,St. Lucia
ACS-SMD,America Central and South ,St. Maarten (Dutch Part)
ACS-SMF,America Central and South ,St. Martin (French Part)
ACS-SPM,America Central and South ,St. Pierre and Miquelon
ACS-SVG,America Central and South ,St. Vincent and the Grenadines
OTH-STL,Other,Stateless
AFN-SUD,Africa North,Sudan
AFS-SDS,Africa Sub-Saharan,Sudan (South)
ACS-SRN,America Central and South ,Surinam
ERO-SJM,Europe Other,Svalbard and Jan Mayen
AFS-SWZ,Africa Sub-Saharan,Swaziland
EU1-SWD,EU 14,Sweden
ERO-SWT,Europe Other,Switzerland
MIE-SYR,Middle East,Syria
AEA-TWN,Asia East,Taiwan
ACE-TJK,Asia Central,Tajikistan
AFS-TNZ,Africa Sub-Saharan,Tanzania
ASE-THA,Asia South East,Thailand
AFS-TOG,Africa Sub-Saharan,Togo
OCE-TKL,Oceania,Tokelau
OCE-TNG,Oceania,Tonga
ACS-TAT,America Central and South ,Trinidad and Tobago
AFN-TNS,Africa North,Tunisia
ERO-TRK,Europe Other,Turkey
ACE-TMS,Asia Central,Turkmenistan
OTH-TCI,Other,Turks and Caicos Islands (British)
OCE-TVL,Oceania,Tuvalu
AFS-UGD,Africa Sub-Saharan,Uganda
ERO-UKR,Europe Other,Ukraine
MIE-UAE,Middle East,United Arab Emirates
AMN-UST,America North,United States
ACS-URG,America Central and South ,Uruguay
ACE-UZB,Asia Central,Uzbekistan
OCE-VNT,Oceania,Vanuatu
ERO-VTC,Europe Other,Vatican City
ACS-VNZ,America Central and South ,Venezuela
ASE-VTN,Asia South East,Vietnam
OTH-VIB,Other,Virgin Islands (British)
AMN-VIU,America North,Virgin Islands (US)
OCE-WAF,Oceania,Wallis and Futuna
AFN-WSH,Africa North,Western Sahara
MIE-YMN,Middle East,Yemen
AFS-ZMB,Africa Sub-Saharan,Zambia
AFS-ZBW,Africa Sub-Saharan,Zimbabwe
